,Digitizer,yyyyjjj,Latitude,LatSTD,dates
727,AB13,2019123,28.550050000000002,3.0029814383018802e-05,2019-05-03
732,AB13,2019124,28.550050000000002,2.726607098339556e-05,2019-05-04
737,AB13,2019125,28.550030555555555,9.422526127153235e-06,2019-05-05
742,AB13,2019126,28.550030555555555,8.209437791228668e-06,2019-05-06
747,AB13,2019127,28.550030555555555,7.5748492510055836e-06,2019-05-07
752,AB13,2019128,28.550030555555555,7.753569016142488e-06,2019-05-08
757,AB13,2019129,28.550030555555555,3.0357629163586646e-06,2019-05-09
762,AB13,2019130,28.550030555555555,7.105427357601002e-15,2019-05-10
767,AB13,2019131,28.550030555555555,3.552713678800501e-15,2019-05-11
772,AB13,2019132,28.550030555555555,3.552713678800501e-15,2019-05-12
777,AB13,2019133,28.550030555555555,0.0,2019-05-13
903,AB13,2019170,28.55004166666667,2.916059217695825e-06,2019-06-19
912,AB13,2019176,28.55004166666667,5.430281145965216e-06,2019-06-25
915,AB13,2019177,28.55004166666667,6.075623359778703e-06,2019-06-26
918,AB13,2019178,28.550033333333335,4.153758991302466e-06,2019-06-27
921,AB13,2019179,28.550037500000002,4.166666666804986e-06,2019-06-28
924,AB13,2019180,28.55004166666667,1.0343450170334008e-05,2019-06-29
927,AB13,2019181,28.550058333333332,1.034138624412249e-05,2019-06-30
930,AB13,2019182,28.550058333333332,7.923384033375342e-06,2019-07-01
933,AB13,2019183,28.550058333333332,7.105427357601002e-15,2019-07-02
936,AB13,2019184,28.550058333333332,7.105427357601002e-15,2019-07-03
939,AB13,2019185,28.550058333333332,3.552713678800501e-15,2019-07-04
942,AB13,2019186,28.550058333333332,0.0,2019-07-05
945,AB13,2019187,28.550058333333332,0.0,2019-07-06
948,AB13,2019188,28.550058333333332,3.552713678800501e-15,2019-07-07
951,AB13,2019189,28.550058333333332,7.105427357601002e-15,2019-07-08
954,AB13,2019190,28.550058333333332,3.552713678800501e-15,2019-07-09
957,AB13,2019191,28.550058333333332,0.0,2019-07-10
960,AB13,2019192,28.550058333333332,0.0,2019-07-11
963,AB13,2019193,28.550058333333332,1.0658141036401503e-14,2019-07-12
966,AB13,2019194,28.550058333333332,7.105427357601002e-15,2019-07-13
969,AB13,2019195,28.550058333333332,0.0,2019-07-14
972,AB13,2019196,28.550058333333332,1.0658141036401503e-14,2019-07-15
977,AB13,2019197,28.550058333333332,0.0,2019-07-16
982,AB13,2019198,28.550058333333332,3.552713678800501e-15,2019-07-17
987,AB13,2019199,28.550058333333332,7.105427357601002e-15,2019-07-18
992,AB13,2019200,28.550058333333332,7.105427357601002e-15,2019-07-19
997,AB13,2019201,28.550058333333332,3.552713678800501e-15,2019-07-20
1002,AB13,2019202,28.550058333333332,3.552713678800501e-15,2019-07-21
1007,AB13,2019203,28.550058333333332,1.0658141036401503e-14,2019-07-22
1013,AB13,2019204,28.550058333333332,3.552713678800501e-15,2019-07-23
1019,AB13,2019205,28.54226666666667,0.00388655752651875,2019-07-24
1025,AB13,2019206,28.54226666666667,0.0030798341377303987,2019-07-25
1031,AB13,2019207,28.54226666666667,0.002643690367897757,2019-07-26
1036,AB13,2019208,28.54226666666667,0.0028693070419981374,2019-07-27
1042,AB13,2019209,28.54226666666667,0.003878513623664325,2019-07-28
1048,AB13,2019210,28.55003888888889,0.003473776336041484,2019-07-29
1054,AB13,2019211,28.55003888888889,0.0033307824474057518,2019-07-30
1060,AB13,2019212,28.54226666666667,0.060457415502285665,2019-07-31
1066,AB13,2019213,28.42504166666667,0.0599588587278632,2019-08-01
1072,AB13,2019214,28.42504166666667,0.05993536211858539,2019-08-02
1078,AB13,2019215,28.42504166666667,0.06101265587218077,2019-08-03
1084,AB13,2019216,28.42504166666667,0.06024700767590972,2019-08-04
1090,AB13,2019217,28.42504166666667,0.05560578040179365,2019-08-05
1096,AB13,2019218,28.42504166666667,0.05950956816424392,2019-08-06
1102,AB13,2019219,28.42504166666667,0.05742984313615336,2019-08-07
