,Digitizer,yyyyjjj,Latitude,LatSTD,dates
158,92B7,2018361,28.573475,3.9593925537351095e-06,2018-12-27
162,92B7,2018362,28.573475,3.7899825807336703e-06,2018-12-28
166,92B7,2018363,28.573469444444445,4.796996649885656e-06,2018-12-29
170,92B7,2018364,28.573469444444445,5.296192710354193e-06,2018-12-30
174,92B7,2018365,28.573466666666665,9.355032245503118e-07,2018-12-31
178,92B7,2019001,28.573469444444445,2.6813627145827374e-06,2019-01-01
182,92B7,2019002,28.573469444444445,2.961242635159806e-06,2019-01-02
186,92B7,2019003,28.57347222222222,3.467651857911082e-06,2019-01-03
190,92B7,2019004,28.57347222222222,2.7613196541038705e-06,2019-01-04
194,92B7,2019005,28.57347222222222,9.81581644516313e-07,2019-01-05
198,92B7,2019006,28.57347222222222,3.552713678800501e-15,2019-01-06
202,92B7,2019007,28.57347222222222,8.15398677320842e-07,2019-01-07
206,92B7,2019008,28.573469444444445,7.105427357601002e-15,2019-01-08
210,92B7,2019009,28.573469444444445,3.552713678800501e-15,2019-01-09
214,92B7,2019010,28.573469444444445,3.552713678800501e-15,2019-01-10
227,92B7,2019014,28.573463888888888,2.783211331036659e-06,2019-01-14
231,92B7,2019015,28.573469444444445,2.6295355494588946e-06,2019-01-15
235,92B7,2019016,28.573469444444445,2.522901591414625e-06,2019-01-16
239,92B7,2019017,28.573469444444445,2.504864951022646e-06,2019-01-17
243,92B7,2019018,28.573469444444445,1.3172237186707505e-06,2019-01-18
247,92B7,2019019,28.57347222222222,2.31755262067351e-06,2019-01-19
251,92B7,2019020,28.573469444444445,2.7830056334955705e-06,2019-01-20
255,92B7,2019021,28.573469444444445,2.382558802063412e-06,2019-01-21
259,92B7,2019022,28.573469444444445,2.273237721644033e-06,2019-01-22
263,92B7,2019023,28.573469444444445,1.2934244126600928e-06,2019-01-23
267,92B7,2019024,28.573469444444445,1.6051686216922374e-06,2019-01-24
271,92B7,2019025,28.573469444444445,2.107893323960673e-06,2019-01-25
275,92B7,2019026,28.573469444444445,3.552713678800501e-15,2019-01-26
279,92B7,2019027,28.573469444444445,3.552713678800501e-15,2019-01-27
283,92B7,2019028,28.573469444444445,1.0658141036401503e-14,2019-01-28
287,92B7,2019029,28.573469444444445,7.105427357601002e-15,2019-01-29
291,92B7,2019030,28.573469444444445,3.552713678800501e-15,2019-01-30
295,92B7,2019031,28.573469444444445,5.915523747673879e-07,2019-01-31
