,filename,starttime,endtime,hours,npts,nRECS,Fs,numValidTimes,numTimeSkips,passed
74,20221202.100hz.100hz_Sensors_100Hz76.pkl,2022-08-03 04:00:00.010000,2022-08-03 08:00:00.000000,4.0,1440000,1440000,100.000095368,1440000,0.0,True
75,20221202.100hz.100hz_Sensors_100Hz77.pkl,2022-08-03 08:00:00.010000,2022-08-03 12:00:00.000000,4.0,1439703,1439703,100.000095368,1439703,3.0,False
76,20221202.100hz.100hz_Sensors_100Hz78.pkl,2022-08-03 12:00:00.010000,2022-08-03 16:00:00.000000,4.0,1440000,1440000,100.000095368,1440000,0.0,True
77,20221202.100hz.100hz_Sensors_100Hz8.pkl,2022-07-22 20:00:00.010000,2022-07-23 00:00:00.000000,4.0,1440000,1440000,100.000095368,1440000,0.0,True
78,20221202.100hz.100hz_Sensors_100Hz9.pkl,2022-07-23 00:00:00.010000,2022-07-23 04:00:00.000000,4.0,1440000,1440000,100.000095368,1440000,0.0,True
79,20221202.100hz.100hz_Sensors_1Sec0.pkl,2022-07-21 13:36:27.000000,2022-06-03 15:57:03.480000,2.34,8616,373378112,1.0,8616,1.0,False
80,20221202.100hz.100hz_Sensors_1Sec1.pkl,2022-07-21 16:00:01.000000,2022-06-04 18:09:55.890000,2.16,14407,382806683,1.0,14407,2.66666666667,False
81,20221202.100hz.100hz_Sensors_1Sec10.pkl,2022-07-23 04:00:01.000000,2022-06-12 04:12:22.650000,0.21,14405,446771300,1.0,14405,2.0,False
82,20221202.100hz.100hz_Sensors_1Sec11.pkl,2022-07-23 08:00:01.000000,2022-06-12 23:01:49.770000,15.03,14403,1376257,1.0,3,1.0,False
83,20221202.100hz.100hz_Sensors_1Sec12.pkl,2022-07-23 12:00:01.000000,2022-06-13 18:47:59.730000,6.8,14407,1376257,1.0,3,1.0,False
84,20221202.100hz.100hz_Sensors_1Sec13.pkl,2022-07-23 16:00:01.000000,2022-07-23 20:00:00.000000,4.0,14400,14400,1.0,14400,0.0,True
85,20221202.100hz.100hz_Sensors_1Sec14.pkl,2022-07-23 20:00:01.000000,2022-06-15 11:28:10.970000,15.47,14406,1376257,1.0,3,1.0,False
86,20221202.100hz.100hz_Sensors_1Sec15.pkl,2022-07-24 00:00:01.000000,2022-07-24 04:00:00.000000,4.0,14400,14400,1.0,14400,0.0,True
87,20221202.100hz.100hz_Sensors_1Sec16.pkl,2022-07-24 04:00:01.000000,2022-07-24 08:00:00.000000,4.0,14400,14400,1.0,14400,0.0,True
88,20221202.100hz.100hz_Sensors_1Sec17.pkl,2022-07-24 08:00:01.000000,2022-06-17 22:33:39.850000,14.56,14407,1376257,1.0,3,1.0,False
89,20221202.100hz.100hz_Sensors_1Sec18.pkl,2022-07-24 12:00:01.000000,2022-06-18 15:55:43.980000,3.93,14405,502715844,1.0,14405,4.0,False
90,20221202.100hz.100hz_Sensors_1Sec19.pkl,2022-07-24 16:00:01.000000,2022-06-19 12:08:09.410000,20.14,14407,1376257,1.0,3,1.0,False
91,20221202.100hz.100hz_Sensors_1Sec2.pkl,2022-07-21 20:00:01.000000,2022-06-05 14:37:41.530000,18.63,14407,1376257,1.0,3,1.0,False
92,20221202.100hz.100hz_Sensors_1Sec20.pkl,2022-07-24 20:00:01.000000,2022-06-20 09:21:42.410000,13.36,14407,1376257,1.0,3,1.0,False
93,20221202.100hz.100hz_Sensors_1Sec21.pkl,2022-07-25 00:00:01.000000,2022-06-21 03:05:37.380000,3.09,14406,523971841,1.0,14406,2.33333333333,False
94,20221202.100hz.100hz_Sensors_1Sec22.pkl,2022-07-25 04:00:01.000000,2022-07-25 08:00:00.000000,4.0,14400,14400,1.0,14400,0.0,True
95,20221202.100hz.100hz_Sensors_1Sec23.pkl,2022-07-25 08:00:01.000000,2022-06-22 20:31:36.170000,12.53,14407,1376257,1.0,3,1.0,False
96,20221202.100hz.100hz_Sensors_1Sec24.pkl,2022-07-25 12:00:01.000000,2022-06-23 14:48:16.930000,2.8,14407,545424446,1.0,14407,2.66666666667,False
97,20221202.100hz.100hz_Sensors_1Sec25.pkl,2022-07-25 16:00:01.000000,2022-07-25 20:00:00.000000,4.0,14400,14400,1.0,14400,0.0,True
98,20221202.100hz.100hz_Sensors_1Sec26.pkl,2022-07-25 20:00:01.000000,2022-07-26 00:00:00.000000,4.0,14400,14400,1.0,14400,0.0,True
99,20221202.100hz.100hz_Sensors_1Sec27.pkl,2022-07-26 00:00:01.000000,2022-06-26 03:42:59.710000,3.72,14405,567309366,1.0,14405,2.0,False
100,20221202.100hz.100hz_Sensors_1Sec28.pkl,2022-07-26 04:00:01.000000,2022-06-26 21:33:25.490000,17.56,14403,1376257,1.0,3,1.0,False
101,20221202.100hz.100hz_Sensors_1Sec29.pkl,2022-07-26 08:00:01.000000,2022-07-26 12:00:00.000000,4.0,14400,14400,1.0,14400,0.0,True
102,20221202.100hz.100hz_Sensors_1Sec3.pkl,2022-07-22 00:00:01.000000,2022-06-06 09:07:24.050000,9.12,14405,786433,1.0,2,0.0,False
103,20221202.100hz.100hz_Sensors_1Sec30.pkl,2022-07-26 12:00:01.000000,2022-07-26 16:00:00.000000,4.0,14400,14400,1.0,14400,0.0,True
104,20221202.100hz.100hz_Sensors_1Sec31.pkl,2022-07-26 16:00:01.000000,2022-06-29 08:36:47.650000,16.61,14407,1376257,1.0,3,1.0,False
105,20221202.100hz.100hz_Sensors_1Sec32.pkl,2022-07-26 20:00:01.000000,2022-06-30 02:11:53.610000,6.2,14406,1376257,1.0,3,1.0,False
106,20221202.100hz.100hz_Sensors_1Sec33.pkl,2022-07-27 00:00:01.000000,2009-03-20 04:29:46.906100,4.5,14404,1,1.0,1,0.0,False
107,20221202.100hz.100hz_Sensors_1Sec34.pkl,2022-07-27 04:00:01.000000,2009-06-02 20:42:06.389300,16.7,14404,1,1.0,1,0.0,False
108,20221202.100hz.100hz_Sensors_1Sec35.pkl,2022-07-27 08:00:01.000000,2022-07-27 12:00:00.000000,4.0,14400,14400,1.0,14400,0.0,True
109,20221202.100hz.100hz_Sensors_1Sec36.pkl,2022-07-27 12:00:01.000000,2022-07-27 16:00:00.000000,4.0,14400,14400,1.0,14400,0.0,True
110,20221202.100hz.100hz_Sensors_1Sec37.pkl,2022-07-27 16:00:01.000000,2022-07-04 07:51:11.090000,15.85,14406,720897,1.0,2,0.0,False
111,20221202.100hz.100hz_Sensors_1Sec38.pkl,2022-07-27 20:00:01.000000,2022-07-05 03:26:26.460000,7.44,14402,720897,1.0,2,0.0,False
112,20221202.100hz.100hz_Sensors_1Sec39.pkl,2022-07-28 00:00:01.000000,2022-07-05 19:05:47.900000,19.1,14404,720897,1.0,2,0.0,False
113,20221202.100hz.100hz_Sensors_1Sec4.pkl,2022-07-22 04:00:01.000000,2022-06-07 05:57:00.450000,1.95,14403,404285777,1.0,14403,1.33333333333,False
114,20221202.100hz.100hz_Sensors_1Sec40.pkl,2022-07-28 04:00:01.000000,2022-07-28 08:00:00.000000,4.0,14400,14400,1.0,14400,0.0,True
115,20221202.100hz.100hz_Sensors_1Sec41.pkl,2022-07-28 08:00:01.000000,2022-07-07 13:57:02.570000,5.95,14406,1376257,1.0,2,0.0,False
116,20221202.100hz.100hz_Sensors_1Sec42.pkl,2022-07-28 12:00:01.000000,2022-07-08 09:10:27.050000,21.17,14407,1376257,1.0,3,1.0,False
117,20221202.100hz.100hz_Sensors_1Sec43.pkl,2022-07-28 16:00:01.000000,2022-07-28 20:00:00.000000,4.0,14400,14400,1.0,14400,0.0,True
