,Fs,Unnamed: 0,bandratio_[0.8_4.0_16.0],bandratio_[1.0_6.0_11.0],bw_max,bw_min,calib,energy,filetime,id,kurtosis,medianF,noise_level,num_gaps,peakA,peakF,peakamp,peaktime,percent_availability,quality,sample_lower_quartile,sample_max,sample_mean,sample_median,sample_min,sample_rms,sample_stdev,sample_upper_quartile,signal_level,skewness,snr,starttime,units
7,75.19,7,-1.53774078478,-3.34546654042,3.7,1.9,1.0,860596700.413,1901-03-06T21:24:49.040000Z,MV.MBGH..SHZ,4.88,4.1,6506.17817468,0,878.615472801,2.7,16205.4231713,50.57,100.0,5.66,-745.168058389,16205.4231713,0.138611461757,3.50264142989,-14958.9396687,2852.96416315,2852.96415978,704.373821252,16205.4231713,0.09,2.49077457398,1901-03-06T21:24:49.040000Z,Counts
8,75.19,8,-2.81901095661,-4.09904870354,3.3,1.8,1.0,5986487657.24,1901-03-06T21:24:49.040000Z,MV.MBGH..SHN,5.05,3.4,18029.7666666,0,2556.09346561,2.5,42817.0514129,47.59,100.0,5.77,-1935.04703033,38456.3194107,-0.293984614395,-17.4041495849,-42817.0514129,7524.58450302,7524.58449728,1723.85840823,42817.0514129,0.03,2.37479786648,1901-03-06T21:24:49.040000Z,Counts
9,75.19,9,-2.72811704067,-4.24498986991,3.3,2.2,1.0,6979197056.17,1901-03-06T21:24:49.040000Z,MV.MBGH..SHE,5.28,3.4,20086.4010891,0,2999.69168796,2.7,46279.1411942,49.95,100.0,5.77,-2072.80740218,46279.1411942,0.193329923822,-6.48288779193,-43376.2111956,8124.54799249,8124.54799019,1849.08025718,46279.1411942,0.16,2.30400363853,1901-03-06T21:24:49.040000Z,Counts
10,75.19,10,-2.29998872584,-3.38779816149,2.8,1.5,1.0,136744556.627,1901-03-06T21:24:49.040000Z,MV.MBWH..SHZ,7.3,3.3,2957.56092294,0,382.556646085,2.1,6766.43519863,49.5,100.0,5.47,-242.303563219,6249.77676443,-0.0162114788544,-0.617164903054,-6766.43519863,1137.23836373,1137.23836362,206.838405978,6766.43519863,0.08,2.28784304869,1901-03-06T21:24:49.040000Z,Counts
11,75.19,11,-1.59981965215,-3.52505711527,3.3,1.1,1.0,75084619.3537,1901-03-06T21:24:49.040000Z,MV.MBGB..SHZ,4.41,8.3,1668.40347665,0,237.113047736,2.6,5302.64130759,44.08,100.0,5.46,-307.351055021,5302.64130759,-0.0181817065282,6.73889287464,-4383.16696058,842.698012802,842.698012606,308.98415373,5302.64130759,-0.1,3.17827275104,1901-03-06T21:24:49.040000Z,Counts
12,75.19,12,-3.05253781105,-4.71995911924,3.0,1.4,1.0,717524973.872,1901-03-06T21:24:49.040000Z,MV.MBGB..SHN,4.35,4.0,6686.3206003,0,862.86568324,2.2,14163.3614195,49.41,100.0,5.67,-667.024492293,14163.3614195,-0.163134953945,-9.74824329601,-14042.1653151,2605.04355486,2605.04354975,676.59903386,14163.3614195,-0.03,2.1182593935,1901-03-06T21:24:49.040000Z,Counts
13,75.19,13,-2.97706101421,-4.55808219958,2.9,1.3,1.0,737689234.873,1901-03-06T21:24:49.040000Z,MV.MBGB..SHE,13.04,5.5,5291.03654116,0,820.709887618,2.1,22236.8298404,54.75,100.0,5.65,-683.281603906,21164.9894399,0.0885069787681,5.20165999996,-22236.8298404,2641.39408518,2641.3940837,666.645635521,22236.8298404,0.33,4.2027360173,1901-03-06T21:24:49.040000Z,Counts
14,75.19,14,-0.804879383305,-2.27754717089,3.9,2.0,1.0,1907084531.44,1901-03-06T21:24:49.040000Z,MV.MBLG..SHZ,6.32,5.6,10756.0598254,0,1200.47901609,2.6,25809.5577746,50.91,100.0,5.7,-972.766194687,23416.1860434,-0.0481706664837,10.4433057069,-25809.5577746,4246.99206793,4246.99206765,969.612325293,25809.5577746,-0.01,2.39953646536,1901-03-06T21:24:49.040000Z,Counts
0,75.19,0,0.585812099292,-1.27704990505,5.3,2.4,1.0,20514144.551,1901-03-06T21:36:03.040000Z,MV.MBRY..SHZ,2.86,6.5,1174.03268655,0,218.398646055,3.5,3262.43491775,24.51,100.0,5.29,-252.582764738,2820.9000392,0.0775363634386,-7.07200376545,-3262.43491775,606.013226477,606.013221517,257.153808577,3262.43491775,-0.02,2.77882801316,1901-03-06T21:36:03.040000Z,Counts
1,75.19,1,-0.226371730311,-1.80237812031,4.8,1.4,1.0,100001991.011,1901-03-06T21:36:03.040000Z,MV.MBRY..SHN,3.28,5.2,3222.84515401,0,479.40550651,2.8,6462.35946068,28.13,100.0,5.42,-528.744023353,6219.00787236,-0.534476396666,3.53951645455,-6462.35946068,1338.01111321,1338.01100646,550.296142994,6462.35946068,-0.1,2.0051721854,1901-03-06T21:36:03.040000Z,Counts
