,Description,Date,Age,Miles,eq_1Mi,Minutes,Seconds
60, Law Days 10k,1999-05-01,27,6.215,5.523611237337993,5.0,31.0
96, Track time trial 3000m,2007-05-01,35,1.865,5.52834941353755,5.0,31.0
59, Alaskaland Couch Potato Challenge,1999-04-25,27,3.108,5.529000638150887,5.0,31.0
17, Leicester,1987-09-06,16,5.0,5.535073246974842,5.0,32.0
101, Santa Claus Half,2007-07-07,35,13.112,5.559993948876777,5.0,33.0
185, Thanksgiving Turkey Trot,2016-11-24,45,1.0,5.57,5.0,34.0
148, Golden Mile,2011-07-23,40,1.0,5.57,5.0,34.0
24, sileby,1988-09-11,17,9.0,5.575320116556747,5.0,34.0
152, Valkyries,2012-07-14,40,5.37,5.576671989589351,5.0,34.0
172, AGU Run,2014-12-18,43,3.108,5.588039619871665,5.0,35.0
83, Crossdale 10k,2004-09-05,33,6.215,5.5888398122512815,5.0,35.0
80, Desford 10k,2004-03-28,32,6.215,5.606881758503892,5.0,36.0
151, Flint Hills Mile,2012-06-28,40,1.0,5.62,5.0,37.0
127, Final leg of Skagway-Whitehorse Klondike Relay,2009-09-12,38,12.1,5.621042209032677,5.0,37.0
110, Fairbanks run for women,2008-06-01,36,5.0,5.6492890441346395,5.0,38.0
169, Midnight Sun Run,2014-06-21,42,6.215,5.66378328130059,5.0,39.0
125, Run Lu Lu Run,2009-08-15,38,6.837,5.674112213384571,5.0,40.0
132, UAF campus afternoon run,2010-03-18,38,3.0,5.6755442795017546,5.0,40.0
67, 1st Salmon Run in Nenana,1999-07-04,27,3.108,5.676598092452833,5.0,40.0
43, Mosquito Meander,1998-06-13,26,3.108,5.706117583313222,5.0,42.0
177, Midnight Sun Run,2016-06-18,44,6.215,5.708194225922403,5.0,42.0
88, Holme Pierrepont,2005-07-28,34,6.215,5.708194225922403,5.0,42.0
89, Wollaton Park,2005-07-30,34,3.108,5.7120214814853005,5.0,42.0
161, Midnight Sun Run,2013-06-22,41,6.215,5.713745594000129,5.0,42.0
143, Santa Claus Half,2010-08-07,39,13.112,5.716025653412758,5.0,42.0
71, Santa Claus Half M,1999-07-10,27,13.112,5.716025653412758,5.0,42.0
198, Jim Loftus Mile,2019-06-06,47,1.0,5.72,5.0,43.0
138, Midnight Sun Run,2010-06-19,38,6.215,5.727624014194447,5.0,43.0
150, Midnight Sun Run,2012-06-23,40,6.215,5.73039969823331,5.0,43.0
52, Santa Claus Half M,1998-08-08,27,13.112,5.730794086352377,5.0,43.0
79, Trent Toll Bridge (Notts AC),2003-07-26,32,5.0,5.731875851311725,5.0,43.0
50, Grandmas over the hill,1998-07-23,27,9.0,5.739300119984887,5.0,44.0
95, Beet Beethoven,2007-04-14,35,3.108,5.750396819603806,5.0,45.0
38, Law Days Judicata,1998-04-25,26,6.215,5.783137694971712,5.0,46.0
124, Santa Claus Half,2009-08-08,38,13.112,5.787299394990921,5.0,47.0
159, Halloween Run,2012-10-27,41,10.0,5.788732426606234,5.0,47.0
34, St Andrews Half,1991-05-15,19,13.112,5.80014151059059,5.0,48.0
129, Cache Creek Warm-up,2009-10-24,38,6.8,5.801690668687611,5.0,48.0
75, Gold Discovery Run,2000-07-23,29,16.3,5.809791290170848,5.0,48.0
207, St Pete Run Festival,2021-11-13,50,6.215,5.835875691710115,5.0,50.0
208, Turkey Trot Clearwater,2021-11-25,50,3.107,5.841002522713254,5.0,50.0
57, Beat Beethoven,1999-04-03,27,3.108,5.850763088529129,5.0,51.0
166, Donate Life USF 5k,2014-04-06,42,3.108,5.853715037615167,5.0,51.0
28, sileby,1989-09-10,18,9.0,5.856428693862129,5.0,51.0
160, Beat Beethoven,2013-04-13,41,3.108,5.862570884873285,5.0,51.0
146, Murphy Dome Roam,2011-05-15,39,11.0,5.863921036504707,5.0,51.0
134, UAF campus run,2010-04-01,38,3.0,5.865751709409381,5.0,51.0
175, Chena River Run,2016-05-07,44,3.108,5.868474783045362,5.0,52.0
158, Troth Yeddha 5k at UAF,2012-09-22,41,3.108,5.880282579389519,5.0,52.0
109, Spring Fling 5k,2008-04-05,36,3.108,5.880282579389519,5.0,52.0
13, shepshed,1986-10-04,15,6.215,5.89832858258454,5.0,53.0
8, barrow,1985-06-01,13,4.0,5.928930163551801,5.0,55.0
179, Prestwold Air Ambulance 10k,2016-06-26,44,6.215,5.939963843167489,5.0,56.0
77, Cudjoehead - Salem Park,2001-03-01,29,4.0,5.940137971044338,5.0,56.0
54, Musk Ox Run,1998-08-27,27,11.5,5.940299836742926,5.0,56.0
16, thringstone,1987-08-01,16,3.85,5.940900990192623,5.0,56.0
186, Thanksgiving Turkey Trot,2016-11-24,45,6.215,5.949678737303511,5.0,56.0
115, Beat Beethoven,2009-04-11,37,3.108,5.951129357454452,5.0,57.0
189, Independence Day 5k  Fairbanks  AK,2017-07-04,45,3.108,5.962937153798608,5.0,57.0
206, Trot thru the terrace,2021-11-06,50,6.215,5.967720683556123,5.0,58.0
84, Robin Hood Half Marathon,2004-09-12,33,13.112,5.968373224946257,5.0,58.0
