,Description,Date,Age,Miles,eq_5Mi,Minutes,Seconds
50, Grandmas over the hill,1998-07-23,27,9.0,32.66225137640814,32.0,39.0
38, Law Days Judicata,1998-04-25,26,6.215,32.911730209021556,32.0,54.0
124, Santa Claus Half,2009-08-08,38,13.112,32.935414367253195,32.0,56.0
159, Halloween Run,2012-10-27,41,10.0,32.943569723807336,32.0,56.0
34, St Andrews Half,1991-05-15,19,13.112,33.008498610828596,33.0,0.0
129, Cache Creek Warm-up,2009-10-24,38,6.8,33.01731484105334,33.0,1.0
75, Gold Discovery Run,2000-07-23,29,16.3,33.06341532885835,33.0,3.0
207, St Pete Run Festival,2021-11-13,50,6.215,33.21186117805031,33.0,12.0
28, sileby,1989-09-10,18,9.0,33.328827935110354,33.0,19.0
146, Murphy Dome Roam,2011-05-15,39,11.0,33.37146671922584,33.0,22.0
13, shepshed,1986-10-04,15,6.215,33.56727943084752,33.0,34.0
179, Prestwold Air Ambulance 10k,2016-06-26,44,6.215,33.80422493271232,33.0,48.0
54, Musk Ox Run,1998-08-27,27,11.5,33.80613706596766,33.0,48.0
186, Thanksgiving Turkey Trot,2016-11-24,45,6.215,33.85951221648078,33.0,51.0
206, Trot thru the terrace,2021-11-06,50,6.215,33.9621886006222,33.0,57.0
84, Robin Hood Half Marathon,2004-09-12,33,13.112,33.96590220166632,33.0,57.0
51, Gold Discovery Run,1998-07-26,27,16.3,34.10128038402431,34.0,6.0
94, Spring Fling 10k,2007-04-07,35,6.215,34.10435590174108,34.0,6.0
180, 3 club challenge,2016-08-09,45,5.0,34.15,34.0,8.0
111, Spruce Tree Classic,2008-06-28,36,7.2,34.162737343575174,34.0,9.0
85, Turkey Trot - Keyworth,2004-12-12,33,12.6,34.18900578025863,34.0,11.0
192, Run on the shutle landing facility ,2018-03-13,46,6.0,34.44153043099597,34.0,26.0
65, Midnight Sun Run,1999-06-19,27,6.215,34.53085780509773,34.0,31.0
187, Barrow Boxing Day Handicap,2016-12-26,45,6.0,34.581003041126245,34.0,34.0
142, Gold Discovery.,2010-07-25,39,16.3,34.70620744474961,34.0,42.0
205, Fast tempo run  Lake Carrollwood,2021-10-23,50,6.215,34.72831238998507,34.0,43.0
92, Barrow Boxing Day Handicap,2005-12-26,34,6.0,34.86815253257095,34.0,52.0
191, Trot thru the terrace,2017-11-11,46,6.215,35.02844335901383,35.0,1.0
100, Spruce Tree Classic,2007-06-30,35,7.5,35.05475122502589,35.0,3.0
0, Leicester,1983-09-04,12,6.0,35.07325931217431,35.0,4.0
12, sileby,1986-09-07,15,9.0,35.46187292295741,35.0,27.0
25, Bellshire Half M in Melton,1988-10-18,17,13.112,35.47509183149829,35.0,28.0
118, Spruce Tree Classic,2009-06-27,37,7.2,35.47798586914223,35.0,28.0
170, North Pole Triathlon,2014-07-12,42,6.215,35.52602891292992,35.0,31.0
66, Hugh Heacock at Birch Hill,1999-06-24,27,6.215,35.5418252797209,35.0,32.0
27, walton,1989-09-02,18,6.215,35.762974414794726,35.0,45.0
9, sileby,1985-09-01,14,9.0,35.8191579584218,35.0,49.0
103, UAF campus and trail run,2007-07-30,36,7.1,35.92925849812689,35.0,55.0
114, St Patricks,2009-03-15,37,7.2,35.96361609396699,35.0,57.0
126, Run for the Refuge,2009-08-16,38,6.215,36.22896723512884,36.0,13.0
137, Murphy Dome Roam,2010-05-09,38,11.0,36.447898807404485,36.0,26.0
93, Two way street station cookie challenge,2006-09-30,35,6.4,36.601416410874585,36.0,36.0
4, Leicester,1984-09-01,13,5.0,37.5,37.0,30.0
74, Santa Claus Half M,2000-07-01,28,13.112,37.521450651609435,37.0,31.0
76, Beaver Sports Triathlon,2000-07-29,29,6.215,37.53216749538528,37.0,31.0
108, Two Way Street Cookie Challenge,2007-10-20,36,6.5,37.613850548358876,37.0,36.0
196, Multirace Fort de Soto Tri #3,2018-09-15,47,6.215,38.14822580023377,38.0,8.0
194, Multirace Fort de Soto Tri #1,2018-07-07,46,6.215,38.16402216702476,38.0,9.0
195, Multirace Fort de Soto Tri #2,2018-08-18,47,6.215,38.250902184375185,38.0,15.0
167, Murphy Dome Roam,2014-05-18,42,11.0,38.25986516442495,38.0,15.0
19, shepshed,1987-11-01,16,6.215,38.30618946814364,38.0,18.0
91, Turkey Trot - Keyworth,2005-12-11,34,13.112,38.36922787708406,38.0,22.0
155, Santa Claus Half,2012-08-04,41,13.112,39.39971571149717,39.0,23.0
128, Equinox Marathon,2009-09-18,38,26.224,39.71413016166842,39.0,42.0
23, Leicester (Run the World),1988-09-03,17,6.215,40.675644486791704,40.0,40.0
197, Trout Creek 15km trail race,2019-02-10,47,9.323,40.824203573728475,40.0,49.0
107, Equinox Leg 2,2007-09-15,36,8.7,40.93822369782603,40.0,56.0
145, Equinox Marathon,2010-09-18,39,26.224,41.54916937983705,41.0,32.0
113, Equinox Marathon,2008-09-18,37,26.224,42.18857397993548,42.0,11.0
55, Equinox Marathon,1998-09-19,27,26.224,42.48834903635018,42.0,29.0
154, Gold Discovery Run,2012-07-22,41,16.3,42.5109526595976,42.0,30.0
36, Leeds Half M,1995-07-01,23,13.112,43.55820917093733,43.0,33.0
147, Annihilator,2011-05-28,39,6.7,43.63539820285069,43.0,38.0
157, Equinox Marathon,2012-09-15,41,26.224,45.34747529695286,45.0,20.0
120, Ester Dome Ass Kicker,2009-07-12,37,6.75,45.948234488979935,45.0,56.0
173, Spacecoast Marathon,2015-11-29,44,26.224,46.40968402286161,46.0,24.0
193, Santa Rosa Olympic Triathlon 1500m swim  25 mile ride  10k run,2018-06-09,46,6.215,47.94197321064576,47.0,56.0
3, Barrow,1984-06-02,12,9.2,48.21654829066293,48.0,12.0
