,Description,Date,Age,Miles,eq_5k,Minutes,Seconds
28, sileby,1989-09-10,18,9.0,19.83571598206439,19.0,50.0
160, Beat Beethoven,2013-04-13,41,3.108,19.85651957462457,19.0,51.0
146, Murphy Dome Roam,2011-05-15,39,11.0,19.861092536354935,19.0,51.0
134, UAF campus run,2010-04-01,38,3.0,19.867293022981066,19.0,52.0
175, Chena River Run,2016-05-07,44,3.108,19.876516069664476,19.0,52.0
158, Troth Yeddha 5k at UAF,2012-09-22,41,3.108,19.916509059744286,19.0,54.0
109, Spring Fling 5k,2008-04-05,36,3.108,19.916509059744286,19.0,54.0
13, shepshed,1986-10-04,15,6.215,19.977630847902148,19.0,58.0
8, barrow,1985-06-01,13,4.0,20.08127836081474,20.0,4.0
179, Prestwold Air Ambulance 10k,2016-06-26,44,6.215,20.118649418593222,20.0,7.0
77, Cudjoehead - Salem Park,2001-03-01,29,4.0,20.119239189474126,20.0,7.0
54, Musk Ox Run,1998-08-27,27,11.5,20.119787428374018,20.0,7.0
16, thringstone,1987-08-01,16,3.85,20.12182353428654,20.0,7.0
186, Thanksgiving Turkey Trot,2016-11-24,45,6.215,20.151553751754474,20.0,9.0
115, Beat Beethoven,2009-04-11,37,3.108,20.15646700022313,20.0,9.0
189, Independence Day 5k  Fairbanks  AK,2017-07-04,45,3.108,20.196459990302937,20.0,11.0
206, Trot thru the terrace,2021-11-06,50,6.215,20.21266179905394,20.0,12.0
84, Robin Hood Half Marathon,2004-09-12,33,13.112,20.214871955850487,20.0,12.0
51, Gold Discovery Run,1998-07-26,27,16.3,20.295442541190283,20.0,17.0
94, Spring Fling 10k,2007-04-07,35,6.215,20.29727294146858,20.0,17.0
180, 3 club challenge,2016-08-09,45,5.0,20.324438114245858,20.0,19.0
111, Spruce Tree Classic,2008-06-28,36,7.2,20.33201876874757,20.0,19.0
85, Turkey Trot - Keyworth,2004-12-12,33,12.6,20.3476524793107,20.0,20.0
156, Birch Hill 5k,2012-08-25,41,3.108,20.396424940701976,20.0,23.0
37, Beat Beethoven,1998-04-04,26,3.108,20.496407415901498,20.0,29.0
192, Run on the shutle landing facility ,2018-03-13,46,6.0,20.497943010386322,20.0,29.0
190, fort de soto 5k & 15k,2017-10-01,46,3.108,20.52640215846135,20.0,31.0
65, Midnight Sun Run,1999-06-19,27,6.215,20.551106368712517,20.0,33.0
187, Barrow Boxing Day Handicap,2016-12-26,45,6.0,20.580950402281648,20.0,34.0
142, Gold Discovery.,2010-07-25,39,16.3,20.655466043660095,20.0,39.0
205, Fast tempo run  Lake Carrollwood,2021-10-23,50,6.215,20.66862184428841,20.0,40.0
203, Clearwater running festival 5k,2021-04-24,49,3.108,20.746363603900296,20.0,44.0
92, Barrow Boxing Day Handicap,2005-12-26,34,6.0,20.75184797383084,20.0,45.0
131, UAF campus lunch run,2010-03-16,38,3.0,20.781687262532493,20.0,46.0
191, Trot thru the terrace,2017-11-11,46,6.215,20.847245367163772,20.0,50.0
100, Spruce Tree Classic,2007-06-30,35,7.5,20.862902544167582,20.0,51.0
0, Leicester,1983-09-04,12,6.0,20.873917667794554,20.0,52.0
20, barrow,1988-06-04,16,4.0,20.87845576266183,20.0,52.0
183, Tempo run,2016-09-22,45,3.47,20.96945437294627,20.0,58.0
21, loughborough,1988-07-02,16,3.108,20.996319791899094,20.0,59.0
164, Chena Lakes Triathlon Sprint Triathlon,2013-07-27,42,3.108,20.996319791899094,20.0,59.0
