,Date,Age,Miles,Mins,Pace,Mins25,Pace25,Description,Age.1,comments,eq_100m,eq25_100m,eq_200m,eq25_200m,eq_400m,eq25_400m,eq_800m,eq25_800m,eq_1Mi,eq25_1Mi,eq_5k,eq25_5k,eq_5Mi,eq25_5Mi,eq_10k,eq25_10k,eq_15k,eq25_15k,eq_20k,eq25_20k,eq_HMa,eq25_HMa,eq_16.3,eq25_16.3,eq_Mar,eq25_Mar
99,2007-06-28,35,1.0,5.16,5.16,5.02,5.02, Flint Hills Mile,35.94, 6th ?,0.19129972200591056,0.18610941947086646,0.508190518649369,0.49440240380229306,1.147544411668461,1.1164094857704794,2.4478377130108755,2.3814235114950764,5.16,5.02,,,,,,,,,,,,,,,,
100,2007-06-30,35,7.5,54.28,7.24,52.27,6.97, Spruce Tree Classic,35.95, Through the first mile in over 10 minutes due to blistering. Gradually sped up thereafter. Over the bicycle bumps both ways (officially 52:17).,0.2283622667723394,0.2199059632312119,0.606647712678825,0.5841834182336438,1.3698704855537829,1.3191438887232172,2.9220835397592038,2.8138781618130726,6.1597020852380755,5.931607000652067,20.862902544167582,20.09034480441488,35.05475122502589,33.756666295727776,44.383308755564066,42.739785347334816,,,,,,,,,,
101,2007-07-07,35,13.112,86.59,6.6,83.63,6.38, Santa Claus Half,35.97, ,0.20612893348346362,0.1990826043102213,0.5475845365440005,0.5288658596971332,1.2364999970821713,1.1942313749391613,2.6375897039094642,2.5474261108436136,5.559993948876777,5.369930638001673,18.831691905939685,18.187947731767363,31.641823255968653,30.560176451052758,40.062153119947205,38.692665035468124,61.53755688626158,59.43395175422168,82.19481105094835,79.38505656762686,86.59,83.63,,,,
102,2007-07-10,35,0.746,4.03,5.41,3.92,5.25, Training for Flint Hills mile?,35.98, ,0.2041330086269962,0.19856113990516752,0.5422823328745043,0.5274805818531159,1.2245270972204634,1.1911032806710213,2.6120501992788943,2.5407535437154505,,,,,,,,,,,,,,,,,,
103,2007-07-30,36,7.1,52.48,7.39,50.47,7.11, UAF campus and trail run,36.03, ,0.23405919675230943,0.22509465815718477,0.6217816907676205,0.597967262443632,1.4040445036528741,1.3502691711006203,2.9949804572618963,2.880271792644968,6.313367539575417,6.071563638002502,21.38336722799186,20.564377743840495,35.92925849812689,34.5531569436064,45.49053459384982,43.74823324983995,,,,,,,,,,
104,2007-08-04,36,4.972,30.77,6.19,29.77,5.99, GCI 8k,36.05, ,0.20167932400557517,0.19512490983574826,0.5357640836722216,0.51835218625031,1.2098082463733013,1.1704904613107958,2.5806532809291456,2.4967841460273212,5.4399729438008,5.263178242994795,18.425180925781405,17.82637751577876,30.95878592453685,29.952650535374136,,,,,,,,,,,,
105,2007-08-05,36,5.0,30.58,6.12,29.6,5.92, Morning run near Pioneer Park,36.05, ,0.1992117437396813,0.1928275871384751,0.5292089204864915,0.5122493147939879,1.1950060401035902,1.156709574462599,2.549078556348261,2.4673880074528625,5.373413964840973,5.201211686046201,18.19974575501137,17.61649687208426,30.58,29.6,,,,,,,,,,,,
106,2007-08-26,36,5.25,31.92,6.08,30.88,5.88, Yankovitch loop run SUPER FAST  HILLY,36.11, ,0.19718715591944844,0.19076251174162176,0.5238305732331507,0.5067634116992384,1.1828612005048766,1.1443218631450685,2.5231722854572065,2.4409636646277733,5.3188039892338,5.14550962366979,18.01478184226594,17.42783406294399,30.269215633674563,29.283000587965862,,,,,,,,,,,,
107,2007-09-15,36,8.7,74.11,8.52,70.75,8.13, Equinox Leg 2,36.16, ,0.26668982761442345,0.2545986412592155,0.7084654404761616,0.6763450264969428,1.5997849767826702,1.5272539078042626,3.412516290487788,3.25779958915141,7.193525929158995,6.867385770989055,24.36446249058912,23.259826220606936,40.93822369782603,39.08216605884755,51.832455196196314,49.482474769004035,79.61735482964822,76.00766231544476,,,,,,,,
108,2007-10-20,36,6.5,49.98,7.69,47.9,7.37, Two Way Street Cookie Challenge,36.26, 4th. Had to run through snow that was deep and slippy,0.24503337987254223,0.23483591228280856,0.6509347692621723,0.6238450469719499,1.4698750358679726,1.408703765867865,3.135404180984627,3.004919173052494,6.609378345585117,6.3343181823434795,22.385955423385436,21.45432702641381,37.613850548358876,36.04848822061605,47.62342005102111,45.64149300608065,,,,,,,,,,
109,2008-04-05,36,3.108,19.92,6.41,19.15,6.16, Spring Fling 5k,36.72, ,0.2180031827041499,0.209576352850626,0.5791286538420172,0.5567426566804532,1.3077297312034584,1.2571799373768184,2.7895305156958394,2.681702277890327,5.880282579389519,5.652982499764521,19.916509059744286,19.146644000707983,,,,,,,,,,,,,,
110,2008-06-01,36,5.0,32.15,6.43,30.88,6.18, Fairbanks run for women,36.87, Ran with Ellen; who finished 3rd,0.20943942319263423,0.20116607739311185,0.5563789010346861,0.5344006365148091,1.2563585411815053,1.2067294479528736,2.679950149986808,2.574085867234608,5.6492890441346395,5.426128948145496,19.134134271537462,18.378291331417632,32.15,30.880000000000003,,,,,,,,,,,,
111,2008-06-28,36,7.2,50.65,7.03,48.45,6.73, Spruce Tree Classic,36.94, ,0.22255129094618506,0.21288469982907535,0.5912107701261272,0.5655313289755353,1.3350123437555532,1.2770256279359637,2.847727311597954,2.7240353059609257,6.002960429011153,5.742219798333472,20.33201876874757,19.448890608999402,34.162737343575174,32.67886721216618,43.25391755662118,41.375168916452054,,,,,,,,,,
