,Description,Date,Age,Miles,eq25_10k,Minutes,Seconds
44, Midnight Sun Run,1998-06-20,26,6.215,39.3,39.0,17.0
146, Murphy Dome Roam,2011-05-15,39,11.0,39.42977197260822,39.0,25.0
124, Santa Claus Half,2009-08-08,38,13.112,39.55784838613565,39.0,33.0
83, Crossdale 10k,2004-09-05,33,6.215,39.62,39.0,37.0
129, Cache Creek Warm-up,2009-10-24,38,6.8,39.624988639704455,39.0,37.0
60, Law Days 10k,1999-05-01,27,6.215,39.78,39.0,46.0
80, Desford 10k,2004-03-28,32,6.215,39.83,39.0,49.0
28, sileby,1989-09-10,18,9.0,40.09156442563333,40.0,5.0
88, Holme Pierrepont,2005-07-28,34,6.215,40.25,40.0,15.0
170, North Pole Triathlon,2014-07-12,42,6.215,40.6,40.0,36.0
71, Santa Claus Half M,1999-07-10,27,13.112,41.163295566251335,41.0,9.0
142, Gold Discovery.,2010-07-25,39,16.3,41.23505849419775,41.0,14.0
52, Santa Claus Half M,1998-08-08,27,13.112,41.260455193866406,41.0,15.0
50, Grandmas over the hill,1998-07-23,27,9.0,41.32037290078747,41.0,19.0
111, Spruce Tree Classic,2008-06-28,36,7.2,41.375168916452054,41.0,22.0
196, Multirace Fort de Soto Tri #3,2018-09-15,47,6.215,41.38,41.0,22.0
194, Multirace Fort de Soto Tri #1,2018-07-07,46,6.215,41.48,41.0,28.0
195, Multirace Fort de Soto Tri #2,2018-08-18,47,6.215,41.52,41.0,31.0
38, Law Days Judicata,1998-04-25,26,6.215,41.62,41.0,37.0
94, Spring Fling 10k,2007-04-07,35,6.215,41.72,41.0,43.0
75, Gold Discovery Run,2000-07-23,29,16.3,41.79447065077022,41.0,47.0
25, Bellshire Half M in Melton,1988-10-18,17,13.112,41.9775857786443,41.0,58.0
84, Robin Hood Half Marathon,2004-09-12,33,13.112,42.241304767885204,42.0,14.0
85, Turkey Trot - Keyworth,2004-12-12,33,12.6,42.4551006662189,42.0,27.0
3, Barrow,1984-06-02,12,9.2,42.52215848588664,42.0,31.0
118, Spruce Tree Classic,2009-06-27,37,7.2,42.5280374001922,42.0,31.0
100, Spruce Tree Classic,2007-06-30,35,7.5,42.739785347334816,42.0,44.0
54, Musk Ox Run,1998-08-27,27,11.5,42.770844127953254,42.0,46.0
27, walton,1989-09-02,18,6.215,42.92,42.0,55.0
92, Barrow Boxing Day Handicap,2005-12-26,34,6.0,43.02519901484384,43.0,1.0
51, Gold Discovery Run,1998-07-26,27,16.3,43.1385616041457,43.0,8.0
114, St Patricks,2009-03-15,37,7.2,43.18559942425139,43.0,11.0
137, Murphy Dome Roam,2010-05-09,38,11.0,43.23135874993099,43.0,13.0
126, Run for the Refuge,2009-08-16,38,6.215,43.33,43.0,19.0
167, Murphy Dome Roam,2014-05-18,42,11.0,43.35239335065617,43.0,21.0
197, Trout Creek 15km trail race,2019-02-10,47,9.323,43.47268050939196,43.0,28.0
65, Midnight Sun Run,1999-06-19,27,6.215,43.7,43.0,42.0
19, shepshed,1987-11-01,16,6.215,43.72,43.0,43.0
103, UAF campus and trail run,2007-07-30,36,7.1,43.74823324983995,43.0,44.0
5, sileby,1984-09-01,13,9.0,44.210098325875215,44.0,12.0
93, Two way street station cookie challenge,2006-09-30,35,6.4,44.83979802941966,44.0,50.0
66, Hugh Heacock at Birch Hill,1999-06-24,27,6.215,44.97,44.0,58.0
155, Santa Claus Half,2012-08-04,41,13.112,45.401305989842,45.0,24.0
108, Two Way Street Cookie Challenge,2007-10-20,36,6.5,45.64149300608065,45.0,38.0
128, Equinox Marathon,2009-09-18,38,26.224,46.99391672163929,46.0,59.0
91, Turkey Trot - Keyworth,2005-12-11,34,13.112,47.191819127319725,47.0,11.0
74, Santa Claus Half M,2000-07-01,28,13.112,47.42315157402227,47.0,25.0
76, Beaver Sports Triathlon,2000-07-29,29,6.215,47.43,47.0,25.0
23, Leicester (Run the World),1988-09-03,17,6.215,47.6,47.0,36.0
145, Equinox Marathon,2010-09-18,39,26.224,48.46384782357666,48.0,27.0
154, Gold Discovery Run,2012-07-22,41,16.3,48.70264761783969,48.0,42.0
107, Equinox Leg 2,2007-09-15,36,8.7,49.482474769004035,49.0,28.0
173, Spacecoast Marathon,2015-11-29,44,26.224,50.047863130440504,50.0,2.0
113, Equinox Marathon,2008-09-18,37,26.224,50.2672558322222,50.0,16.0
193, Santa Rosa Olympic Triathlon 1500m swim  25 mile ride  10k run,2018-06-09,46,6.215,50.33,50.0,19.0
147, Annihilator,2011-05-28,39,6.7,50.589634212246736,50.0,35.0
157, Equinox Marathon,2012-09-15,41,26.224,51.199674814794406,51.0,11.0
55, Equinox Marathon,1998-09-19,27,26.224,53.744630155462076,53.0,44.0
120, Ester Dome Ass Kicker,2009-07-12,37,6.75,54.213749661205455,54.0,12.0
36, Leeds Half M,1995-07-01,23,13.112,55.14965529388737,55.0,8.0
165, Sourdough Triathlon,2013-07-14,41,13.112,56.29706422953201,56.0,17.0
121, Chena Hot Springs Run & Soak,2009-07-18,38,8.5,58.79643612230951,58.0,47.0
78, Leeds Half M with Tanya,2001-06-01,29,13.112,64.42608640665954,64.0,25.0
